French,Frequency,English
devrais,97220,should
aide,96574,help
dernière,96425,last
demande,95954,request
chercher,95887,seek
pensais,95747,thought
genre,95698,gender
seulement,95569,only
police,95229,police
car,94921,because
mois,94016,month
frère,94005,brother
laisser,93545,to leave 
aucun,93134,none
mettre,92980,put
eux,92010,them
laisse,91272,leave alone
chaque,91035,each
ville,90067,city
arrivé,89653,arrived
devrait,89639,should
parlé,89232,speak
avez-vous,88861,have you got
vont,88659,are going
longtemps,88619,a long time
aucune,87577,none
heures,87343,hours
bébé,86634,baby
place,86562,place
revoir,86062,goodbye
putain,85798,whore
compris,85603,understood
ni,84992,neither
savais,84626,knew
leurs,84050,their
étaient,83848,were
attention,83667,attention
donner,83428,give
affaire,83076,affair
endroit,82941,place
pourrais,82579,could
corps,82565,body
façon,82429,way
donné,82427,given
est-il,82359,is it
voici,82156,here is
train,82087,train
dont,81842,of which
écoute,81813,listen
yeux,81633,eyes
trouve,81473,find
pouvoir,81369,power
type,81069,kind
perdu,80940,lost
premier,80900,first
première,80647,first
côté,80162,side
point,80138,point
tellement,80089,such
main,79961,hand
tiens,79293,hold
sois,79031,be
enfant,78904,child
vieux,78652,old
matin,78600,morning
venu,77238,came
pardon,77144,pardon
là-bas,76653,over there
suite,76545,following
vers,76542,towards
minutes,76229,minutes
demandé,76129,request
venez,76029,come
devant,75940,in front
dr,75475,dr
enfin,75391,finally
arrêter,74860,stop
cause,74747,cause
nouvelle,74677,new
attendez,74608,wait
chambre,74591,bedroom
droit,74535,right
parti,74523,left
mis,74511,put
eau,74267,water
compte,74243,account
dirait,74046,would say
terre,74029,earth
belle,74001,beautiful
espère,73948,hope
aimerais,73931,would like to
loin,73779,far
as-tu,73213,do you have
mari,72921,husband
donne,72911,given
fin,72794,end
mme,72376,mrs
aura,72059,will have
gros,71871,fat
boulot,71509,job
plutôt,71199,instead
chérie,71179,dear
prêt,70737,ready
filles,70420,girls
bureau,70339,desk
mourir,70130,die
hier,69937,yesterday
possible,69891,possible
jouer,69516,play
demander,69293,ask
celui,69179,the one
voulait,68950,wanted to
beau,67782,beautiful
jeune,67609,young
euh,67392,uh
dehors,67348,out
docteur,67286,doctor
a-t-il,67118,does he have
confiance,67045,trust
appeler,67001,to call
années,66836,years
vérité,66327,truth
école,66151,school
chef,66020,chief
femmes,66013,women
propos,65929,about
semaine,65429,week
vivre,64664,live
regardez,64586,look
feu,64459,fire
journée,63963,daytime
madame,63463,mrs
hey,63364,hey
téléphone,62803,phone
près,62659,close
affaires,62509,business
meilleur,62322,best
devez,62051,have to
dessus,62027,above
mains,61954,hands
penses,61741,thinking
prie,61306,pray
équipe,61172,team
vas-y,61165,go ahead
grande,61118,big
manger,60951,eat
arriver,60824,arrive
dur,60815,hard
guerre,60533,war
ait,60333,has
appelé,60257,called
marche,60060,walk
sécurité,59750,security
garçon,59725,boy
essaie,59674,try
important,59641,important
dites,59498,say
exactement,59442,exactly
font,59434,make
fort,59357,strong
presque,59183,almost
plein,59129,full
derrière,59059,behind
ben,59042,ben
mariage,58910,marriage
parents,58708,parents
capitaine,58413,captain
dernier,58399,last
fou,58314,mad
ceux,58210,those
tomber,57627,to fall
attendre,57610,to wait for
vue,57392,view
pensé,57366,think
souviens,57155,remember
envie,56862,envy
fête,56661,party
jeu,56566,game
génial,56189,awesome
pays,55567,country
garde,55293,guard
cours,54886,course
bientôt,54494,soon
ii,54338,ii
numéro,54135,number
personnes,54104,people
cinq,54092,five
parfait,53772,perfect
excusez-moi,53742,excuse me
laissé,53626,leave alone
ainsi,53523,thus
retour,53349,back
semble,53159,seems
autant,53097,as much
peine,53089,penalty
minute,53057,minute
essayé,52897,try
plan,52873,plan
instant,52720,moment
serai,52686,will be
prison,52666,prison
penser,52612,think
essayer,52345,to try
prend,52147,takes
arme,52139,armed
mauvais,52116,bad
mot,52103,word
travailler,51814,to work
quatre,51716,four
rentrer,51544,to return
regarder,51486,look
choix,51014,choice
êtes-vous,50919,are you
parfois,50714,sometimes
film,50463,movie
abord,50320,on board
voyez,50199,see
faute,50187,mistake
facile,50015,easy
croyais,49992,believed
bas,49872,down
changer,49767,to change
entendre,49655,hear
plaisir,49365,pleasure
heureux,49316,happy
entrer,49076,enter
voudrais,49061,would like
es-tu,48889,are you
propre,48778,own
étiez,48770,have been
tour,48730,round
fera,48729,will
ensuite,48619,next
garder,48491,keep
agent,48468,agent
allait,48398,was going to
lit,48374,bed
travaille,48194,work
adore,47930,adore
amie,47899,friend
rendre,47887,give back
allons-y,47877,let's go there
route,47877,road
lieu,47846,place
année,47747,year
voit,47662,sees
commence,47401,begin
service,47219,service
devoir,47066,duty
attend,46971,waits
drôle,46916,funny
difficile,46667,difficult
sûre,46585,safe
pire,46569,worse 
pos,46544,pos
peuvent,46475,can
sujet,46448,subject
état,46353,state
ceci,46192,this
impossible,46058,impossible
sorte,45976,sort
perdre,45792,lose
dollars,45519,dollars
voulu,45504,desired
morte,45457,dead
ira,45398,will go
faisait,45293,did
bizarre,45211,weird
oublié,44936,forget
arrêtez,44843,stop
ferai,44832,will do
serais,44830,would be
tôt,44694,early
inquiète,44638,worry
payer,44636,pay
coeur,44598,heart
dès,44598,of the
pouvais,44535,could
reviens,44478,come back
chien,44449,dog
suffit,44353,enough
prenez,44352,take
pensez,44223,think
café,44063,coffee
calme,44023,calm
cherche,43990,look for
montrer,43938,to show
parles,43864,talk
photo,43835,photo
ferme,43771,farm
problèmes,43735,problems
the,43705,tea
cœur,43691,heart
sûrement,43604,certainly
verre,43564,glass
aimes,43476,likes
devons,43474,owe
veulent,43466,want
doute,43368,doubt
musique,43317,music
courant,43257,fluent
sauf,43211,except
moyen,43094,average
nouvelles,43001,news
puis-je,42958,can i
avis,42822,notice
sauver,42781,save
hôpital,42773,hospital
questions,42732,questions
meurtre,42615,murder
sérieux,42566,serious
seconde,42558,second
trucs,42548,stuff
comprendre,42495,to understand
allais,42452,alla
esprit,42339,spirit
cool,42254,cool
mlle,42249,miss
marché,42176,walk
fous,42174,crazy
laisse-moi,42013,leave me
haut,42011,high
salle,41868,room
malade,41746,sick
changé,41591,exchange
gentil,41586,kind
allé,41502,go
six,41391,six
simple,41316,simple
john,41222,john
semaines,41083,weeks
celle,41072,that
jack,41049,jack
appris,41022,learned
seigneur,40977,lord
dîner,40925,dinner
sors,40866,go outside
commencé,40850,begin
suppose,40694,assumed
chemin,40491,path
partout,40420,everywhere
bras,40381,arm
cul,40257,ass
prochaine,40242,next
visage,39958,face
h,39905,h
meilleure,39793,best
face,39743,face
soirée,39649,evening
roi,39490,king
surtout,39488,above all
retard,39464,delay
écrit,39335,writing
livre,39271,book
rapport,39270,report
chéri,39264,dear
message,39241,message
voulez-vous,39216,do you want
vaut,39050,worth
ferais,39008,would do
morts,38988,dead
boire,38949,drink
soyez,38926,be
président,38910,president
plait,38693,beating
bois,38577,drink
sinon,38576,otherwise
erreur,38428,error
new,38345,new
ecoute,38316,listen
mr,38242,mr
rentre,38212,go home
rendez-vous,38209,appointment
devait,38107,was to
revenir,38040,to come back
joue,37977,plays
pauvre,37944,poor
devenir,37910,become
s,37881,s
rencontrer,37801,meet
sort,37668,spell
commencer,37646,to start
pouvait,37606,could
occupe,37524,busy
entends,37509,hear
souvent,37426,often
pièce,37391,piece
reçu,37374,received
grave,37363,severe
mets,37355,put
intérieur,37333,interior
honneur,37223,honor
dormir,37219,sleep
an,37176,year
faux,37004,fake
messieurs,36835,gentlemen
groupe,36747,band
rêve,36646,dream
carte,36617,map 
aviez,36607,had
appel,36462,call
manque,36432,lack
envoyé,36334,sent
début,36194,beginning
sam,36188,sat
puisse,36184,may
écoutez,36099,listen
laissez-moi,36081,leave me
bonsoir,35996,good evening
content,35995,thrilled
secret,35927,secret
venue,35831,coming
cher,35798,dear
dis-moi,35752,tell me
effet,35720,effect
voyons,35712,let's see
sac,35663,bag
continue,35623,keep on going
acheter,35367,buy
voix,35335,voice
certains,35311,some
occuper,35303,to occupy
noël,35247,christmas
gagner,35232,earn
grâce,35130,grace
maître,35027,master
prix,35016,price
mauvaise,34877,bad
général,34861,general
âge,34813,age
long,34770,long
rue,34669,street
tirer,34659,to pull
apprendre,34657,learn
cheveux,34619,hair
noir,34578,black
promis,34465,promised
avaient,34446,had
patron,34391,boss
avocat,34342,lawyer
force,34289,strength
accident,34178,accident
dix,34151,ten
probablement,34122,probably
laissez,34008,leave
bout,33935,end 
ordre,33869,order
armes,33850,weapons
cru,33759,believed
déteste,33715,hated
retrouver,33686,find
millions,33596,millions
incroyable,33500,amazing
voyage,33467,journey
ailleurs,33452,elsewhere
oublie,33375,forget
ressemble,33348,looks like
bienvenue,33329,welcome
disparu,33306,disappeared
protéger,33233,protect
utiliser,33138,to use
situation,33091,situation
petits,33083,small
aurai,33057,will have
veux-tu,32911,do you want
connaissez,32816,know
simplement,32775,simply
scène,32705,scene
sœur,32449,sister
prête,32407,ready
oncle,32390,uncle
devriez,32217,should
liste,32199,list
soeur,32041,sister
complètement,32034,completely
dos,31944,back
armée,31939,army
paix,31914,peace
battre,31889,beat
york,31805,york
crime,31784,crime
anniversaire,31734,birthday
finir,31715,finish
réussi,31714,successful
agit,31654,act
i,31645,i
retourner,31576,return
sale,31573,dirty
libre,31568,free
bouge,31554,move
contrôle,31553,control
rappelle,31538,remember
arrêté,31461,stopped
hôtel,31438,hotel
idiot,31388,silly
okay,31277,okay
rencontré,31211,encounter
restez,31133,stay
absolument,31103,absolutely
mots,31001,words
victime,30971,victim
impression,30923,impression
décidé,30860,decided
sympa,30825,nice
pars,30795,pars
fasse,30781,do
avion,30751,plane
bordel,30717,mess
habitude,30681,habit
table,30663,table
rouge,30645,red
système,30622,system
photos,30548,pictures
médecin,30511,doctor
seras,30451,will be
bateau,30393,boat
stupide,30383,stupid
faim,30350,hunger
autour,30343,around
fond,30337,bottom
surprise,30330,surprise
croyez,30274,believe
devais,30216,had to
ligne,29986,line
porter,29973,to carry
imagine,29930,conceived
colère,29833,anger
clair,29823,clear
seront,29823,will be
savait,29819,knew
balle,29671,ball
gagné,29628,won
or,29615,gold
hors,29603,out
magnifique,29550,magnificent
risque,29451,risk
terminé,29401,finished
su,29297,on
heureuse,29291,happy
mission,29188,assignment
jolie,29170,pretty
parlez,29154,speak
présent,29154,here
sorti,29142,got out
cadeau,29135,gift
expliquer,29117,explain
volé,29042,stolen
plusieurs,29005,several
gauche,29001,left
ferait,29000,would do
neuf,28997,nine
passe-t-il,28932,he passes
ouvre,28901,open
disais,28816,said
dedans,28714,inside
disent,28687,say
pouvons,28614,can
allez-y,28516,go for it
suivre,28472,follow
pourra,28408,may
inspecteur,28401,inspector
réponse,28389,answer
lumière,28373,light
pieds,28360,feet
pote,28346,pal
montre,28345,watch
pied,28324,foot
marcher,28292,to walk
charlie,28209,charlie
auras,28194,aura
envoyer,28172,send
vraie,28134,real
espèce,28096,species
doivent,28094,must
allô,27992,hello
pareil,27908,the same
vas-tu,27844,are you going
soleil,27823,sun
camp,27788,camp
fallait,27763,had to
coin,27733,corner
ignore,27730,ignore
moitié,27718,half
you,27696,you
selon,27696,according to
tenir,27689,hold
grosse,27629,fat
vouloir,27622,to want
michael,27613,michael
vieille,27589,old
devenu,27587,became
continuer,27438,continue
rend,27333,renders
sortie,27301,exit
recherche,27273,research
arrière,27266,back
lire,27246,read
doucement,27137,gently
joli,27123,pretty
avance,27109,advance
exact,27037,exact
disait,26948,said
club,26946,club
arrivée,26902,arrival
tue,26853,kill
laquelle,26841,which
poser,26762,to set down
chaud,26762,hot
aimé,26712,love
david,26710,david
fais-tu,26655,do you do
tom,26651,tom
professeur,26619,teacher
quitter,26615,to leave
loi,26556,law
tueur,26498,killer
donne-moi,26466,give me
flics,26459,cops
connaître,26455,to know
lettre,26437,letter
forme,26420,shape
connaît,26384,know
conseil,26321,advice
bar,26306,bar
normal,26242,normal
danger,26235,hazard
dangereux,26231,dangerous
folle,26212,crazy
jure,26199,sworn
tiré,26123,drawn
essaye,26116,try
bonnes,26100,good
offre,26091,offer
but,26086,aim
froid,26033,cold
allez-vous,25927,are you going
prêts,25866,loans
tranquille,25861,calm
gamin,25847,kid
joe,25803,joe
classe,25755,class
joué,25739,plays
poste,25731,job
con,25665,stupid
mike,25589,mike
attaque,25543,attack
boîte,25539,box
enquête,25412,investigation
visite,25391,visit
juge,25363,judge
moi-même,25359,myself
bord,25332,edge
debout,25323,standing
envoie,25278,send
preuve,25213,evidence
oublier,25166,forget
bons,25071,good
vivant,25069,alive
ciel,25050,sky
lu,25036,read
touche,25003,touch
aimer,24969,to like
faites-vous,24953,do yourself
télé,24925,tv
met,24924,put
écouter,24919,listen
serez,24918,will be
ll,24887,ll
pourtant,24861,yet
change,24860,exchange
triste,24857,sad
droite,24856,right
gueule,24853,mouth
tombe,24823,fall
sentir,24811,feel
ouvrir,24803,open
travers,24799,through
santé,24796,health
dossier,24767,case
ie,24760,ie
jeunes,24715,youth
frank,24680,frank
coucher,24676,to sleep
cuisine,24649,kitchen
monte,24567,mounted
pouvez-vous,24549,can you
signifie,24512,means
entrez,24501,come in
relation,24501,relationship
centre,24480,center
dame,24475,lady
chacun,24467,each
chanson,24452,song
foutre,24434,cum
voler,24427,fly
blanc,24420,white
george,24408,george
certain,24340,certain
don,24313,don
âme,24204,soul
manière,24165,manner
flic,24138,cop
décision,24039,decision
mange,24014,eat
vit,23971,lives
compagnie,23968,company
déjeuner,23862,lunch
différent,23859,different
tire,23821,drawn
ordres,23785,orders
clé,23784,key
vaisseau,23775,vessel
secondes,23770,seconds
enfer,23720,hell
sortez,23674,get out
vendre,23619,sell
faisais,23540,was doing
responsable,23530,responsible
mecs,23501,guys
nulle,23482,nothing
signe,23446,sign
lieutenant,23433,lieutenant
aille,23431,go
acheté,23393,bought
étrange,23391,odd
diable,23391,devil
viennent,23391,are coming
monter,23296,to go up
là-dedans,23243,in there
l,23240,l
capable,23171,able
emmener,23169,take away
écrire,23152,to write
honte,23146,shame
bouche,23143,mouth
préfère,23099,favorite
coupable,23084,guilty
rire,23042,laugh
payé,22996,paid
soin,22983,care
milieu,22979,medium
appartement,22865,apartment
prochain,22858,next
cerveau,22839,brain
paris,22815,paris
m,22801,m
blague,22769,joke
choisi,22760,selected
époque,22746,era
aurez,22702,will have
voie,22636,way
réunion,22601,meeting
connu,22593,known
allée,22556,aisle
intérêt,22538,interest
cheval,22524,horse
combat,22516,fight
silence,22487,silence
coups,22485,strokes
existe,22455,exist
ia,22453,ia
retourne,22426,return
tel,22393,such
trou,22363,hole
public,22293,audience
peter,22251,to fart
oeil,22186,eye
pleine,22153,full
cacher,22151,hide
amoureux,22137,lover
drogue,22119,drug
commandant,22118,commanding officer
garçons,22071,boys
faisons,22048,let's do
paul,21991,paul
n,21978,not
tient,21944,is holding
est-elle,21883,is she
prise,21880,socket
gouvernement,21860,government
dirai,21844,will say
client,21828,customer
adresse,21825,address
journal,21815,newspaper
contact,21797,contact
dingue,21787,crazy
sent,21757,feel
récupérer,21729,to recover
base,21713,base
preuves,21712,evidence
présente,21683,present
peau,21661,skin
servir,21656,serve
peuple,21655,people
exemple,21652,example
fiche,21652,form
max,21608,max
promets,21565,promotion
lequel,21558,which
blessé,21552,hurt
c,21528,vs
société,21526,company
tort,21494,wrong
sept,21493,seven
pourriez,21456,could
savent,21437,know
ouvert,21418,open
héros,21415,hero
menti,21357,lies
mer,21299,sea
contente,21297,satisfied
quitté,21209,quits
jeter,21209,throw
sauvé,21184,safe
bière,21153,beer
assis,21149,sat
robe,21141,dress
ecoutez,21141,listen
devient,21122,becomes
félicitations,21101,congratulations
opération,21099,operation
prévu,21029,foreseen
fut,21012,was
tenez,20998,hold
livres,20995,books
répondre,20990,answer
seuls,20989,only
pute,20985,whore
entrée,20964,entrance
vol,20952,flight
horrible,20910,horrible
vin,20883,wine
dommage,20879,shame
dites-moi,20865,tell me
auriez,20842,would have
colonel,20840,colonel
ramener,20818,to bring back
règles,20817,rules
nez,20807,nose
justice,20765,justice
fbi,20727,fbi
découvert,20726,discovered
départ,20689,departure
bruit,20665,noise
secours,20663,rescue
vérifier,20657,check
enceinte,20595,pregnant
mise,20571,putting
témoin,20543,witness
dirais,20539,would say
directeur,20517,director
intéressant,20484,interesting
excuse,20473,excuse
environ,20468,approximately
t,20438,t
inutile,20414,useless
terrible,20402,terrible
danse,20395,dance
position,20385,position
humain,20379,human
apparemment,20336,apparently
avenir,20307,future
rêves,20260,dreams
œil,20209,eye
bête,20196,beast
sérieusement,20120,seriously
bravo,20115,well done
approche,20087,approach
nourriture,20052,food
fric,20041,money
plupart,20040,mostly
lycée,20038,high school
tas,20038,pile
empêcher,20006,to prevent
longue,20004,long
sexe,19997,sex
niveau,19994,level
banque,19988,bank
éviter,19974,avoid
étions,19964,were
lune,19957,moon
pitié,19942,pity
liberté,19931,freedom
expérience,19918,experience
procès,19903,trial
radio,19903,radio
hum,19890,hum
verra,19883,will see
thé,19875,tea
partez,19853,set off
utilisé,19845,used
mur,19838,wall
pose,19824,laid
revenu,19814,income
deuxième,19810,second
bande,19808,band
asseyez-vous,19778,sit down
certaines,19769,some
ridicule,19756,ridiculous
nord,19732,north
appelez,19711,call
copine,19703,girlfriend
baiser,19692,kiss
anglais,19687,english
henry,19636,henry
toilettes,19610,bathroom
portes,19599,doors
faudra,19593,will have to
occupé,19592,busy
grands,19559,tidy
and,19529,and
dérange,19450,disturbs
rôle,19448,role
censé,19369,supposed
savez-vous,19361,do you know
james,19347,james
reine,19286,queen
croit,19276,believes
cour,19270,court
église,19259,church
vide,19247,empty
obtenir,19233,get
conneries,19232,bullshit
ennuis,19229,troubles
personnel,19199,staff
conduire,19187,to drive
tombé,19165,fall
sol,19160,ground
code,19148,coded
huit,19144,eight
avions,19144,planes
espoir,19132,hope
comprenez,19110,understand
spécial,19110,special
vidéo,19093,video
vêtements,19070,clothes
défense,19067,defense
alex,19035,alex
sud,19019,south
grand-mère,18994,grandmother
match,18970,match
bombe,18920,bomb
intéresse,18888,interested
zone,18882,area
tante,18869,aunt
paraît,18868,appears
excuser,18825,excuse
magasin,18790,store
marier,18782,marry
chère,18776,dear
aie,18755,ouch
souvenir,18730,memory
proche,18698,close
revient,18664,come back
danny,18641,danny
douleur,18633,pain
arrivera,18624,to arrive at
presse,18614,press
merveilleux,18609,wonderful
asseoir,18573,sit
ravi,18561,delighted
aimais,18539,loved
h.,18519,h.
amérique,18514,america
fenêtre,18461,window
mien,18458,mine
terrain,18458,ground
sergent,18438,sergeant
peux-tu,18386,can you
projet,18376,project
quartier,18371,neighborhood
planète,18365,planet
certainement,18354,certainly
rapide,18343,fast
lorsque,18327,when
assurer,18311,ensure
rendu,18264,rendering
mignon,18262,cute
tourne,18249,turned
danser,18238,to dance
bob,18238,bob
clients,18233,clients
petites,18226,small
aimez,18200,like
présenter,18198,to present
importance,18188,importance
venus,18185,venus
jimmy,18170,jimmy
sache,18159,beam
mérite,18141,deserved
machine,18119,machine
derniers,18093,last
programme,18092,program
mesdames,18055,ladies
meilleurs,18045,best
honnête,18036,honest
essayez,18017,try
irai,17992,go
connard,17990,asshole
occasion,17985,occasion
prouver,17969,prove
travaillé,17956,work
glace,17947,ice
ayez,17946,have
parie,17942,bett
camion,17923,truck
fier,17888,proud
discuter,17845,discuss
village,17843,village
spectacle,17835,show
d,17834,d
nul,17822,
rose,17817,pink
touché,17811,touch
mangé,17787,eat
vis,17786,screw
parole,17774,speech
rencontre,17759,encounter
apprécie,17744,appreciate
jane,17732,jane
réalité,17731,reality
savons,17720,soaps
respect,17693,respect
remettre,17664,to put back
vacances,17653,vacation
détruire,17634,destroy
choisir,17596,choose
ha,17590,ha
découvrir,17577,discover
idées,17567,ideas
officier,17525,officer
frères,17523,brothers
sert,17513,serve
bill,17488,bill
solution,17472,solution
informations,17462,information
attendais,17456,expected
monstre,17409,monster
sexy,17397,sexy
ordinateur,17386,computer
retrouvé,17373,found
nature,17310,nature
rappeler,17308,remind
énergie,17295,energy
pierre,17291,rock 
utilise,17286,used
pression,17283,pressure
chaussures,17265,shoes
faite,17259,done 
histoires,17242,stories
sarah,17229,sarah
marié,17219,married
espace,17198,space
soient,17192,be
nick,17135,nick
portable,17131,portable
préparer,17120,prepare
nécessaire,17109,necessary
court,17099,short
offrir,17091,to offer
will,17084,will
ai-je,17046,have i got
tony,17044,tony
envers,17043,towards
bain,17027,bath
charge,17025,charge
mary,17022,mary
harry,16999,harry
jim,16997,jim
ennemi,16980,enemy
arrivent,16962,arrive
immédiatement,16961,immediately
finalement,16958,ultimately
énorme,16953,huge
grand-père,16950,grandfather
test,16926,test
gagne,16912,won
réfléchir,16869,to reflect on
victimes,16859,victims
chanter,16855,sing
futur,16836,future
lâche,16833,coward
mademoiselle,16798,miss 
copain,16771,boyfriend
enlever,16765,to remove
pensez-vous,16747,do you think
retrouve,16734,found
épouser,16725,marry
fleurs,16704,flowers
salope,16686,slut
aies,16662,aies
gosse,16662,kid
arranger,16628,arrange
riche,16593,rich
faits,16574,facts
ancien,16556,ancient
stop,16540,stop
accepter,16539,accept
restes,16529,remains
nouveaux,16518,new
sauter,16513,jump
suspect,16512,suspicious
vies,16509,lives
durant,16501,during
invité,16440,guest
politique,16434,policy
dents,16431,teeth
patient,16427,patient
repas,16406,meal
urgence,16388,emergency
cartes,16354,cards
jambes,16341,legs
conversation,16314,conversation
telle,16302,such
bus,16280,bus
to,16279,to
tourner,16279,turn
toucher,16270,to touch
mémoire,16270,memory
série,16259,series
mariée,16249,bride
contraire,16246,opposite
vent,16230,wind
taille,16228,size 
donnez-moi,16213,give me
trouves,16212,found
celui-là,16208,that one
chat,16188,cat
continuez,16181,continue
contrat,16160,contract
couteau,16153,knife
double,16099,double
dure,16090,hard
carrière,16078,career
excuse-moi,16028,excuse me
ray,16001,ray
regardé,15989,look at
descendre,15983,to come down
université,15980,university
sentiments,15974,feelings
papier,15951,paper
remarqué,15947,remark
noms,15941,names
vécu,15937,lived
courage,15927,courage
beauté,15915,beauty
bu,15902,drank
tais-toi,15883,shut up
après-midi,15874,afternoon
excellent,15812,excellent
assieds-toi,15798,sit down
richard,15788,richard
propres,15774,clean
parmi,15764,among
forte,15754,strong
étant,15749,being
couple,15721,couple
aiment,15719,like
permis,15716,permit
différence,15704,difference
faudrait,15703,should
course,15682,race
humains,15678,humans
dégage,15675,cleared
mille,15669,thousand
accès,15642,access
cible,15637,target
